hand, deck, pile, move
[66; 66; 66; 66; 66; 15; 45; 35; 52; 13], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24; 12], [13342], [110[0; 4]1]
[66; 66; 66; 66; 66; 15; 35; 52; 13; 12], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53; 24], [13352], [210[2; 4]2]
[66; 66; 66; 66; 66; 15; 35; 52; 13; 24], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34; 53], [23352], [210[4]4]
[66; 66; 66; 66; 66; 15; 35; 52; 13; 53], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51; 34], [24352], [110[2; 4]5]
[66; 66; 66; 66; 66; 15; 35; 52; 13; 34], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54; 25; 51], [24353], [400]
[66; 66; 66; 66; 66; 15; 35; 13; 34; 25], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55; 54], [24353], [110[4]2]
[66; 66; 66; 66; 66; 15; 35; 13; 34; 54], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14; 55], [25353], [110[4]5]
[66; 66; 66; 66; 66; 15; 35; 13; 34; 55], [11; 11; 21; 33; 31; 22; 43; 51; 12; 14], [25354], [110[4]5]
[66; 66; 66; 66; 66; 15; 35; 13; 34; 14], [11; 11; 21; 33; 31; 22; 43; 51; 12], [25355], [110[1; 3]3]
[66; 66; 66; 66; 66; 15; 35; 13; 14; 12], [11; 11; 21; 33; 31; 22; 43; 51], [25455], [402]
[66; 66; 66; 66; 66; 15; 13; 14; 12; 43], [11; 11; 21; 33; 31; 22], [25555], [210[1; 4]3]
[66; 66; 66; 66; 66; 15; 14; 12; 43; 22], [11; 11; 21; 33; 31], [35555], [301]
